Name,Location Type,Category,Notes,Status,Latitude,Longitude,Location
Ashland Av - Division St ,CDOT Placemaking Project,Urban Placemaking,,Planned,41.9035068,-87.6671648,"(41.9035068, -87.6671648)"
Wabansia - Milwaukee,CDOT Placemaking Project,Urban Placemaking,,Planned,41.9123537,-87.6821423,"(41.9123537, -87.6821423)"
Leavitt-Milwaukee,CDOT Placemaking Project,Urban Placemaking,,Planned,41.9140942,-87.683022,"(41.9140942, -87.683022)"
Navy Pier,Lakeshore,Urban Impact on Climate & Weather,,Planned,41.8920031,-87.6116431,"(41.8920031, -87.6116431)"
31st-Fort Dearborn Dr,Lakeshore,Urban Impact on Climate & Weather,,Planned,41.8386583,-87.608006,"(41.8386583, -87.608006)"
71st-SShore,Lakeshore,Urban Impact on Climate & Weather,,Planned,41.7661434,-87.5664693,"(41.7661434, -87.5664693)"
85th-LSD,Lakeshore,Urban Impact on Climate & Weather,,Planned,41.7410863,-87.5401837,"(41.7410863, -87.5401837)"
Fullerton-LSD,Lakeshore,Urban Impact on Climate & Weather,,Planned,41.9262614,-87.6307578,"(41.9262614, -87.6307578)"
LSD/Marine Dr/Irving Park Rd (NWX),Lakeshore,Urban Impact on Climate & Weather,,Planned,41.954697,-87.6442292,"(41.954697, -87.6442292)"
Sheridan Rd - Granville Ave,Lakeshore,Urban Impact on Climate & Weather,,Planned,41.9946167,-87.6555716,"(41.9946167, -87.6555716)"
Damen Ave - Stevenson Expressway ,Pilsen and Stevensen Transect -AQ,Urban Air Quality and Health Education,,Planned,41.8372195,-87.6754582,"(41.8372195, -87.6754582)"
Damen and Archer,Pilsen and Stevensen Transect -AQ,Urban Air Quality and Health Education,single node,Live,41.8317438,-87.6753188,"(41.8317438, -87.6753188)"
Damen and Cermak,Pilsen and Stevensen Transect -AQ,Urban Air Quality and Health Education,Single node with PM,Live,41.8524932,-87.6760483,"(41.8524932, -87.6760483)"
Western Ave - 25th St (NWX),Pilsen and Stevensen Transect -AQ,Urban Air Quality and Health Education,,Planned,41.8465072,-87.6856291,"(41.8465072, -87.6856291)"
State and Adams,Downtown and Federal Campus (GSA),Urban Vehicle and Pedestrian Flow,single node,Planned,41.8795148,-87.6276398,"(41.8795148, -87.6276398)"
State and Van Buren,Downtown and Federal Campus (GSA),Urban Vehicle and Pedestrian Flow,single node,Planned,41.8769426,-87.6275647,"(41.8769426, -87.6275647)"
State St - Monroe St (SWX),Downtown and Federal Campus (GSA),Urban Vehicle and Pedestrian Flow,single node,Planned,41.8806172,-87.6277685,"(41.8806172, -87.6277685)"
State and Jackson,Downtown and Federal Campus (GSA),Urban Vehicle and Pedestrian Flow,single node with PM,Planned,41.8782127,-87.6276075,"(41.8782127, -87.6276075)"
18th and Western,Pilsen and Stevensen Transect -AQ,Urban Air Quality and Health Education,specific corner not yet determined,Live,41.857224,-87.685833,"(41.857224, -87.685833)"
35th and Western.,Pilsen and Stevensen Transect -AQ,Urban Air Quality and Health Education,"single node with PM. ?íçUpwind of highway for measuring ""Before"" air that moves in to Pilsen.",Live,41.8303847,-87.684862,"(41.8303847, -87.684862)"
State and Wacker,Downtown and Federal Campus (GSA),Urban Vehicle and Pedestrian Flow,"riverfront ideally, for pedestrian flow and to compare riverfront to street level",Planned,41.8870233,-87.62779,"(41.8870233, -87.62779)"
Lake Shore Drive - 18th Dr ,Lakeshore,Urban Impact on Climate & Weather,,Live,41.8581829,-87.6162028,"(41.8581829, -87.6162028)"
State St - Randolph St,E-W transects,Urban Impact on Climate & Weather,First node in E-W transect over different building forms (skyscraper to 2-flat),Planned,41.8845107,-87.6279482,"(41.8845107, -87.6279482)"
Upper Wacker Dr - Randolph St ,E-W transects,Urban Impact on Climate & Weather,,Planned,41.8844154,-87.6367539,"(41.8844154, -87.6367539)"
Clark St - Randolph St (SWX),E-W transects,Urban Impact on Climate & Weather,,Planned,41.8844274,-87.6310059,"(41.8844274, -87.6310059)"
Halsted St - Randolph St (NEX),E-W transects,Urban Impact on Climate & Weather,,Live,41.8845791,-87.6473594,"(41.8845791, -87.6473594)"
Wood St - Warren Blvd - NEX,E-W transects,Urban Impact on Climate & Weather,William H. Brown Elementary School; United Center,Live,41.8823915,-87.6716749,"(41.8823915, -87.6716749)"
Western Ave - Madison St,E-W transects,Urban Impact on Climate & Weather,,Planned,41.8812363,-87.6862943,"(41.8812363, -87.6862943)"
Pulaski Rd - Madison St ,E-W transects,Urban Impact on Climate & Weather,,Planned,41.8808202,-87.725563,"(41.8808202, -87.725563)"
Michigan Av - Randolph St,E-W transects,Urban Impact on Climate & Weather,,Planned,41.8845262,-87.6245814,"(41.8845262, -87.6245814)"
State St - Washington St (SEX),Downtown and Federal Campus (GSA),Urban Vehicle and Pedestrian Flow,single node,Live,41.8832053,-87.6277685,"(41.8832053, -87.6277685)"
Racine Ave - 18th St (SEX),Pilsen and Stevensen Transect -AQ,Urban Air Quality and Health Education,single node with PM. ?íçDownwind of smelter at Loomis and 21st.,Live,41.8579911,-87.6565218,"(41.8579911, -87.6565218)"
Cornell Dr - 47th St,Lakeshore,Urban Impact on Climate & Weather,,Live,41.810244,-87.5902927,"(41.810244, -87.5902927)"
Wells St - Washington Blvd (SEX),Downtown and Federal Campus (GSA),Urban Vehicle and Pedestrian Flow,,Planned,41.8832317,-87.6360652,"(41.8832317, -87.6360652)"
Kedzie Ave - 5th Ave (NEX),E-W transects,Urban Impact on Climate and Weather,,Live,41.8783764,-87.7082304,"(41.8783764, -87.7082304)"
Lake Shore Drive - Monroe St,Lakeshore,Urban Impact on Climate and Weather,,Planned,41.8809294,-87.6194422,"(41.8809294, -87.6194422)"
Ashland Ave - 18th St (SWX),AQ,Urban Air Quality and Health Education,,Planned,41.857779,-87.6683327,"(41.857779, -87.6683327)"
Damen Ave - Chicago Int'l Produce Mkt ,Pilsen and Stevensen Transect -AQ,Urban Air Quality and Health Education,,Planned,41.8453359,-87.6778615,"(41.8453359, -87.6778615)"
Dearborn St - Lake St ,Downtown and Federal Campus (GSA),Urban Vehicle and Pedistrian Flow,,Planned,41.8857494,-87.6316961,"(41.8857494, -87.6316961)"
Campbell Ave - Addison St,Other-Education-Partners,Urban Air Quality and Health Education,,Planned,41.946724,-87.692869,"(41.946724, -87.692869)"
Wood St - Milwaukee Ave,CDOT Placemaking Project,Urban Placemaking,,Live,41.9072229,-87.6746905,"(41.9072229, -87.6746905)"
